,Amount
Forschungsinstitut für Opthalmologie - IRO,3.478469
Université de Fribourg - FR,457.5261702500001
Forschungsanstalten Agroscope - AGS,33.115719
AO Research Institute - AORI,3.435621
Pädagogische Hochschule Graubünden - PHGR,0.614613
Biotechnologie Institut Thurgau - BITG,2.492535
Swiss Institute of Bioinformatics - SIB,11.583219
Istituto Svizzero di Roma - ISR,0.141
Université de Neuchâtel - NE,383.20458229999997
Pädagogische Hochschule Schwyz - PHSZ,0.936551
HES de Suisse occidentale - HES-SO,34.16296546
Eidg. Material und Prüfungsanstalt - EMPA,58.57451592
Institut Universitaire Kurt Bösch - IUKB,1.97734
Fachhochschule Ostschweiz - FHO,4.437056
Weitere Institute - FINST,9.256736
Facoltà di Teologia di Lugano - FTL,0.008
Robert Walser-Stiftung Bern - RWS,0.569579
Pädagogische Hochschule Wallis - PHVS,0.425498
Inst. Suisse de Spéléologie et Karstologie - ISSKA,0.624819
Pädagogische Hochschule Schaffhausen - PHSH,0.176691
SUP della Svizzera italiana - SUPSI,24.04008215
Pädagogische Hochschule Luzern - PHLU,1.979281
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,0.012
Instituto Ricerche Solari Locarno - IRSOL,0.951238
Université de Genève - GE,1838.2373084999997
Universität Bern - BE,1519.3730346900002
Idiap Research Institute - IDIAP,22.1831052
Kantonsspital St. Gallen - KSPSG,15.034105
ETH Zürich - ETHZ,1635.5966182500003
Staatsunabh. Theologische Hochschule Basel - STHB,0.0173
Hochschule Luzern - HSLU,10.768116359999999
Friedrich Miescher Institute - FMI,40.22914261
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,4.64955
Nicht zuteilbar - NA,142.42571956999998
Schweizer Paraplegiker Forschung - SPF,1.944211
Pädagogische Hochschule St. Gallen - PHSG,2.098387
Haute école pédagogique du canton de Vaud - HEPL,1.430686
Institut für Kulturforschung Graubünden - IKG,1.219681
Eidg. Anstalt für Wasserversorgung - EAWAG,74.61922237
"NPO (Biblioth., Museen, Verwalt.) - NPO",334.13058379
Firmen/Privatwirtschaft - FP,111.6867199
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,42.771914120000005
Schweiz. Hochschule für Logopädie Rorschach - SHLR,0.4296
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,34.735816
Physikal.-Meteorolog. Observatorium Davos - PMOD,12.098436
Berner Fachhochschule - BFH,31.028695
Haute école pédagogique fribourgeoise - HEPFR,1.547498
Pädagogische Hochschule Nordwestschweiz - PHFHNW,3.476142
Pädagogische Hochschule Zug - PHZG,0.495715
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",0.62738
EPF Lausanne - EPFL,1175.3159139200002
Universität Zürich - ZH,1826.8426750000006
Universität Luzern - LU,39.98167830999999
Eidg. Hochschulinstitut für Berufsbildung - EHB,2.086572
Paul Scherrer Institut - PSI,115.26896887000001
Swiss Center for Electronics and Microtech. - CSEM,18.068246
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",48.36038962999999
Universität Basel - BS,1352.25146437
Inst. de Hautes Etudes Internat. et du Dév - IHEID,38.864231600000004
Weitere Spitäler - ASPIT,10.749808
Ente Ospedaliero Cantonale - EOC,5.067172
Université de Lausanne - LA,1183.29075668
Interkant. Hochschule für Heilpädagogik ZH - HfH,2.839872
Fachhochschule Kalaidos - FHKD,1.09028
Forschungskommission SAGW,0.1
Università della Svizzera italiana - USI,84.97055475
Inst. universit. romand de Santé au Travail - IST,6.88272985
Centre de rech. sur l'environnement alpin - CREALP,1.567678
Forschungsinstitut für biologischen Landbau - FIBL,7.44241
Universität St. Gallen - SG,69.19495444999998
Pädagogische Hochschule Thurgau - PHTG,1.526446
Zürcher Fachhochschule (ohne PH) - ZFH,44.84345312
Pädagogische Hochschule Bern - PHBern,1.9903896
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,0.159317
Pädagogische Hochschule Zürich - PHZFH,3.298346
Franklin University Switzerland - FUS,0.065956
Allergie- und Asthmaforschung - SIAF,19.169965
