Canton,Latitude,Longitude
BS,47.5619253,7.592768
OW,46.877858,8.251249
TI,46.320696,8.788785
LU,47.0795671,8.1662445
SG,47.1456254,9.3504332
SH,47.7009364,8.568004
AI,47.3161925,9.4316573
NW,46.899667,8.402037
SO,47.3320717,7.6388385
GL,47.0404265,9.0672085
VD,46.5840225,6.3757743
SZ,47.0723828,8.7903648
AG,47.3876664,8.2554295
BE,46.7988621,7.7080701
FR,46.747389,7.096018
VS,46.2557761,7.3436391
GE,46.2180073,6.1216925
TG,47.567576,9.081721
ZG,47.1497017,8.5477715
JU,47.3444474,7.1430608
GR,46.6569871,9.5780257
UR,46.7738629,8.6025153
BL,47.4418122,7.7644002
AR,47.3579043,9.2705353
ZH,47.359536,8.6356452
NE,47.0060692,6.763414
